Amphibians,Birds,Mammals,Sharks
Callulops boettgeri,Urolestes melanoleucus,Neoromicia brunnea,Rioraja agassizii
Strongylopus bonaespei,Upucerthia serrana,Aepeomys lugens,Heteroscymnoides marleyi
Xanthophryne koynayensis,Aglaeactis cupripennis,Solomys ponceleti,Pentanchus profundicolus
Lithodytes lineatus,Siptornis striaticollis,Prionomys batesi,Platyrhinoidis triseriata
Hylarana albolabris,Urocissa ornata,Glis glis,Amblyraja badia
Probreviceps durirostris,Pteruthius rufiventer,Deltamys kempi,Scyliorhinus besnardi
Anodonthyla boulengerii,Marmaronetta angustirostris,Erethizon dorsatum,Bythaelurus alcockii
Hydromantes ambrosii,Schistes geoffroyi,Chrysocyon brachyurus,Cephaloscyllium albipinnum
Nyctanolis pernix,Jabouilleia danjoui,Vampyrum spectrum,Rhinoraja albomaculata
Andinobates abditus,Zeledonia coronata,Macroderma gigas,Hydrolagus affinis
Amolops afghanus,Balearica pavonina,Loxodonta africana,Lamiopsis temminckii
Hypogeophis rostratus,Scelorchilus albicollis,Brachylagus idahoensis,Squalus acanthias
Gracixalus ananjevae,Rheinardia ocellata,Thryonomys gregorianus,Haploblepharus edwardsii
Paradoxophyla palmata,Acrocephalus melanopogon,Macropus agilis,Irolita waitii
Ghatophryne ornata,Sirystes sibilator,Hemitragus jemlahicus,Sutorectus tentaculatus
Vandijkophrynus amatolicus,Androphobus viridis,Potos flavus,Stegostoma fasciatum
Corythomantis galeata,Pachycoccyx audeberti,Hemigalus derbyanus,Figaro boardmani
Megastomatohyla mixe,Rhizothera longirostris,Lepilemur aeeclis,Potamotrygon boesemani
Incilius alvarius,Uropsila leucogastra,Musonycteris harrisoni,Rhina ancylostoma
Philoria frosti,Ardea cinerea,Tscherskia triton,Deania calcea
Ikakogi tayrona,Apalis thoracica,Phocoena dioptrica,Temera hardwickii
Ommatotriton ophryticus,Erythrura hyperythra,Promops centralis,Aetobatus flagellum
Lanzarana largeni,Laniisoma elegans,Centronycteris centralis,Leptocharias smithii
Ranodon sibiricus,Histrionicus histrionicus,Lonchophylla bokermanni,Trygonorrhina dumerilii
Limnonectes acanthi,Chordeiles pusillus,Felovia vae,Squatina aculeata
Allopaa barmoachensis,Nemosia pileata,Uromys anak,
Oreobates amarakaeri,Rhodopechys sanguineus,Atelerix albiventris,
Odontophrynus achalensis,Leiothrix argentauris,Nesomys audeberti,
Arlequinus krebsi,Myophonus blighi,Oligoryzomys andinus,
Limnodynastes convexiusculus,Macrodipteryx longipennis,Choeronycteris mexicana,
Amazophrynella bokermanni,Schistocichla schistacea,Parascalops breweri,
Kalophrynus baluensis,Tangara inornata,Sommeromys macrorhinos,
Cophyla berara,Macropygia unchall,Mirounga angustirostris,
Mantella aurantiaca,Tmetothylacus tenellus,Micromys minutus,
Leptodactylus albilabris,Ailuroedus buccoides,Chlorotalpa duthieae,
Discodeles bufoniformis,Catharacta skua,,
Gephyromantis ambohitra,Coryphaspiza melanotis,,
Xenohyla eugenioi,Metriopelia ceciliae,,
Ptychadena aequiplicata,Cephalopterus glabricollis,,
Typhlonectes compressicauda,Trugon terrestris,,
Niceforonia adenobrachia,Nettapus pulchellus,,
Rheobatrachus silus,Compsothraupis loricata,,
Assa darlingtoni,Melanotis caerulescens,,
Stereocyclops histrio,Philomachus pugnax,,
Adenomera ajurauna,Acanthorhynchus tenuirostris,,
Urspelerpes brucei,Anhima cornuta,,
Chlorolius koehleri,Ceyx lepidus,,
Indirana beddomii,Emberiza citrinella,,
Oreophrynella cryptica,Urosphena subulata,,
Pelophylax bedriagae,Chrysothlypis chrysomelas,,
,Callocephalon fimbriatum,,
,Loxigilla portoricensis,,
,Serilophus lunatus,,
,Geoffroyus geoffroyi,,
,Neocossyphus rufus,,
,Anous stolidus,,
,Mearnsia picina,,
,Psittirostra psittacea,,
,Coturnicops exquisitus,,
,Mimus polyglottos,,
,Metopothrix aurantiaca,,
,Ramsayornis modestus,,
,Cnemophilus macgregorii,,
,Ramphomicron microrhynchum,,
,Harpagus bidentatus,,
